Series,Episode,Code,Type,Group,Description,Second Description,Seat 1 points,Seat 2 Points,Seat 3 Points,Seat 4 Points,Seat 4 Points,Tags,Youtube Link
10,6,P,Prize,no,,,,,,,,,
10,6,M1,Main,no,,,,,,,,,
10,6,M2,Main,no,,,,,,,,,
10,6,M3,Main,no,,,,,,,,,
10,6,F,Final,no,,,,,,,,,
10,7,P,Prize,no,,,,,,,,,
10,7,M1,Main,no,,,,,,,,,
10,7,M2,Main,no,,,,,,,,,
10,7,M3,Main,no,,,,,,,,,
10,7,F,Final,no,,,,,,,,,
10,8,P,Prize,no,,,,,,,,,
10,8,M1,Main,no,,,,,,,,,
10,8,M2,Main,no,,,,,,,,,
10,8,M3,Main,no,,,,,,,,,
10,8,F,Final,no,,,,,,,,,
10,9,P,Prize,no,,,,,,,,,
10,9,M1,Main,no,,,,,,,,,
10,9,M2,Main,no,,,,,,,,,
10,9,M3,Main,no,,,,,,,,,
10,9,F,Final,no,,,,,,,,,
10,10,P,Prize,no,,,,,,,,,
10,10,M1,Main,no,,,,,,,,,
10,10,M2,Main,no,,,,,,,,,
10,10,M3,Main,no,,,,,,,,,
10,10,F,Final,no,,,,,,,,,
NYT,1,P,Prize,no,,,,,,,,,
NYT,1,M1,Main,no,,,,,,,,,
NYT,1,M2,Main,no,,,,,,,,,
NYT,1,M3,Main,no,,,,,,,,,
NYT,1,F,Final,no,,,,,,,,,
11,1,P,Prize,no,,,,,,,,,
11,1,M1,Main,no,,,,,,,,,
11,1,M2,Main,no,,,,,,,,,
11,1,M3,Main,no,,,,,,,,,
11,1,F,Final,no,,,,,,,,,
11,2,P,Prize,no,,,,,,,,,
11,2,M1,Main,no,,,,,,,,,
11,2,M2,Main,no,,,,,,,,,
11,2,M3,Main,no,,,,,,,,,
11,2,F,Final,no,,,,,,,,,
11,3,P,Prize,no,,,,,,,,,
11,3,M1,Main,no,,,,,,,,,
11,3,M2,Main,no,,,,,,,,,
11,3,M3,Main,no,,,,,,,,,
11,3,F,Final,no,,,,,,,,,
11,4,P,Prize,no,,,,,,,,,
11,4,M1,Main,no,,,,,,,,,
11,4,M2,Main,no,,,,,,,,,
11,4,M3,Main,no,,,,,,,,,
11,4,F,Final,no,,,,,,,,,
11,5,P,Prize,no,,,,,,,,,
11,5,M1,Main,no,,,,,,,,,
11,5,M2,Main,no,,,,,,,,,
11,5,M3,Main,no,,,,,,,,,
11,5,F,Final,no,,,,,,,,,
11,6,P,Prize,no,,,,,,,,,
11,6,M1,Main,no,,,,,,,,,
11,6,M2,Main,no,,,,,,,,,
11,6,M3,Main,no,,,,,,,,,
11,6,F,Final,no,,,,,,,,,
11,7,P,Prize,no,,,,,,,,,
11,7,M1,Main,no,,,,,,,,,
11,7,M2,Main,no,,,,,,,,,
11,7,M3,Main,no,,,,,,,,,
11,7,F,Final,no,,,,,,,,,
11,8,P,Prize,no,,,,,,,,,
11,8,M1,Main,no,,,,,,,,,
11,8,M2,Main,no,,,,,,,,,
11,8,M3,Main,no,,,,,,,,,
11,8,F,Final,no,,,,,,,,,
11,9,P,Prize,no,,,,,,,,,
11,9,M1,Main,no,,,,,,,,,
11,9,M2,Main,yes,,,,,,,,,
11,9,M3,Main,no,,,,,,,,,
11,9,F,Final,no,,,,,,,,,
11,10,P,Prize,no,,,,,,,,,
11,10,M1,Main,no,,,,,,,,,
11,10,M2,Main,no,,,,,,,,,
11,10,M3,Main,no,,,,,,,,,
11,10,F,Final,no,,,,,,,,,
12,1,P,Prize,no,,,,,,,,,
12,1,M1,Main,no,,,,,,,,,
12,1,M2,Main,no,,,,,,,,,
12,1,M3,Main,no,,,,,,,,,
12,1,F,Final,no,,,,,,,,,
12,2,P,Prize,no,,,,,,,,,
12,2,M1,Main,no,,,,,,,,,
12,2,M2,Main,no,,,,,,,,,
12,2,M3,Main,no,,,,,,,,,
12,2,F,Final,no,,,,,,,,,
12,3,P,Prize,no,,,,,,,,,
12,3,M1,Main,no,,,,,,,,,
12,3,M2,Main,no,,,,,,,,,
12,3,M3,Main,no,,,,,,,,,
12,3,F,Final,no,,,,,,,,,
12,4,P,Prize,no,,,,,,,,,
12,4,M1,Main,no,,,,,,,,,
12,4,M2,Main,no,,,,,,,,,
12,4,M3,Main,no,,,,,,,,,
12,4,F,Final,no,,,,,,,,,
12,5,P,Prize,no,,,,,,,,,
12,5,M1,Main,no,,,,,,,,,
12,5,M2,Main,no,,,,,,,,,
12,5,M3,Main,no,,,,,,,,,
12,5,F,Final,no,,,,,,,,,
12,6,P,Prize,no,,,,,,,,,
12,6,M1,Main,no,,,,,,,,,
12,6,M2,Main,no,,,,,,,,,
12,6,M3,Main,no,,,,,,,,,
12,6,F,Final,no,,,,,,,,,
12,7,P,Prize,no,,,,,,,,,
12,7,M1,Main,no,,,,,,,,,
12,7,M2,Main,no,,,,,,,,,
12,7,M3,Main,no,,,,,,,,,
12,7,F,Final,no,,,,,,,,,
12,8,P,Prize,no,,,,,,,,,
12,8,M1,Main,no,,,,,,,,,
12,8,M2,Main,no,,,,,,,,,
12,8,M3,Main,no,,,,,,,,,
12,8,F,Final,no,,,,,,,,,
12,9,P,Prize,no,,,,,,,,,
12,9,M1,Main,no,,,,,,,,,
12,9,M2,Main,no,,,,,,,,,
12,9,M3,Main,no,,,,,,,,,
12,9,F,Final,no,,,,,,,,,
12,10,P,Prize,no,,,,,,,,,
12,10,M1,Main,no,,,,,,,,,
12,10,M2,Main,no,,,,,,,,,
12,10,M3,Main,no,,,,,,,,,
12,10,F,Final,no,,,,,,,,,
NYT II,1,P,Prize,no,,,,,,,,,
NYT II,1,M1,Main,no,,,,,,,,,
NYT II,1,M2,Main,no,,,,,,,,,
NYT II,1,M3,Main,no,,,,,,,,,
NYT II,1,F,Final,no,,,,,,,,,
13,1,P,Prize,no,,,,,,,,,
13,1,M1,Main,no,,,,,,,,,
13,1,M2,Main,no,,,,,,,,,
13,1,M3,Main,no,,,,,,,,,
13,1,F,Final,no,,,,,,,,,
13,2,P,Prize,no,,,,,,,,,
13,2,M1,Main,no,,,,,,,,,
13,2,M2,Main,no,,,,,,,,,
13,2,M3,Main,no,,,,,,,,,
13,2,F,Final,no,,,,,,,,,
13,3,P,Prize,no,,,,,,,,,
13,3,M1,Main,no,,,,,,,,,
13,3,M2,Main,no,,,,,,,,,
13,3,M3,Main,no,,,,,,,,,
13,3,F,Final,no,,,,,,,,,
13,4,P,Prize,no,,,,,,,,,
13,4,M1,Main,no,,,,,,,,,
13,4,M2,Main,no,,,,,,,,,
13,4,M3,Main,no,,,,,,,,,
13,4,F,Final,no,,,,,,,,,
13,5,P,Prize,no,,,,,,,,,
13,5,M1,Main,no,,,,,,,,,
13,5,M2,Main,no,,,,,,,,,
13,5,M3,Main,no,,,,,,,,,
13,5,F,Final,no,,,,,,,,,
13,6,P,Prize,no,,,,,,,,,
13,6,M1,Main,no,,,,,,,,,
13,6,M2,Main,no,,,,,,,,,
13,6,M3,Main,no,,,,,,,,,
13,6,F,Final,no,,,,,,,,,
13,7,P,Prize,no,,,,,,,,,
13,7,M1,Main,no,,,,,,,,,
13,7,M2,Main,no,,,,,,,,,
13,7,M3,Main,no,,,,,,,,,
13,7,F,Final,no,,,,,,,,,
13,8,P,Prize,no,,,,,,,,,
13,8,M1,Main,no,,,,,,,,,
13,8,M2,Main,no,,,,,,,,,
13,8,M3,Main,no,,,,,,,,,
13,8,F,Final,no,,,,,,,,,
13,9,P,Prize,no,,,,,,,,,
13,9,M1,Main,no,,,,,,,,,
13,9,M2,Main,no,,,,,,,,,
13,9,M3,Main,no,,,,,,,,,
13,9,F,Final,no,,,,,,,,,
13,10,P,Prize,no,,,,,,,,,
13,10,M1,Main,no,,,,,,,,,
13,10,M2,Main,no,,,,,,,,,
13,10,M3,Main,no,,,,,,,,,
13,10,F,Final,no,,,,,,,,,
CoC II,1,P,Prize,no,,,,,,,,,
CoC II,1,M1,Main,no,,,,,,,,,
CoC II,1,M2,Main,no,,,,,,,,,
CoC II,1,M3,Main,no,,,,,,,,,
CoC II,1,F,Final,no,,,,,,,,,
14,1,P,Prize,no,,,,,,,,,
14,1,M1,Main,no,,,,,,,,,
14,1,M2,Main,no,,,,,,,,,
14,1,M3,Main,no,,,,,,,,,
14,1,F,Final,no,,,,,,,,,
14,2,P,Prize,no,,,,,,,,,
14,2,M1,Main,no,,,,,,,,,
14,2,M2,Main,no,,,,,,,,,
14,2,M3,Main,no,,,,,,,,,
14,2,F,Final,no,,,,,,,,,
14,3,P,Prize,no,,,,,,,,,
14,3,M1,Main,no,,,,,,,,,
14,3,M2,Main,no,,,,,,,,,
14,3,M3,Main,no,,,,,,,,,
14,3,F,Final,no,,,,,,,,,
14,4,P,Prize,no,,,,,,,,,
14,4,M1,Main,no,,,,,,,,,
14,4,M2,Main,no,,,,,,,,,
14,4,M3,Main,no,,,,,,,,,
14,4,F,Final,no,,,,,,,,,
14,5,P,Prize,no,,,,,,,,,
14,5,M1,Main,no,,,,,,,,,
